DATE,USDEUR,USDJPY,USDGBP,USDCHF,USDAUD,USDCAD,USDNZD,USDSEK,USDSGD,USDNOK
2000-01-03,,,,,,,,,,
2000-01-04,-0.01505,-0.01358,-0.00613,0.01549,0.00441,-0.00366,0.01072,0.00988,0.00169,0.00377
2000-01-05,-0.00252,-0.00657,-0.00275,0.00251,0.00183,0.0,0.00521,0.00084,-0.00151,-0.00013
2000-01-06,0.00106,-0.01359,-0.00365,-0.0009,0.00153,-0.00364,0.00504,-0.00173,-0.00572,-0.00063
2000-01-07,0.00291,0.00019,0.00554,-0.00533,-0.00122,0.00454,-0.00291,-0.00566,0.0018,-0.00327
2000-01-10,0.00409,-0.00105,0.00061,-0.00517,-0.00198,-0.00433,-0.00155,-0.00403,0.00042,-0.00725
2000-01-11,-0.0068,-0.00766,-0.00645,0.00632,-0.00213,-0.00014,0.00077,0.00617,-0.00432,0.00688
2000-01-12,0.00398,0.00312,0.00091,-0.00352,-0.00046,0.00137,-0.00406,-0.0025,0.0,-0.001
2000-01-13,0.00107,-0.00312,-0.00103,-0.003,-0.01643,0.00379,-0.01055,0.00012,-0.0006,0.00433
2000-01-14,0.01392,0.00217,0.00786,-0.01504,0.0033,-0.00014,0.00536,-0.00675,-0.00311,-0.00684
2000-01-18,0.00069,0.0035,-0.00165,0.00019,0.00376,-0.00034,0.00809,0.00071,0.00102,-0.00162
2000-01-19,0.00059,0.00095,-0.00353,-0.00144,0.0009,-0.00172,0.00291,-0.00224,-0.00108,0.00125
2000-01-20,-0.00178,-0.00057,-0.00607,0.00314,-0.00481,0.00296,0.00447,0.00224,-0.00072,0.00288
2000-01-21,0.00326,0.00466,0.00206,-0.00364,0.00677,0.00443,0.00547,-0.00295,-0.00268,-0.00275
2000-01-24,0.00805,-0.00532,-0.00097,-0.0073,0.0117,0.00139,0.00846,-0.00388,-0.00089,-0.00337
2000-01-25,-0.00219,-0.00331,0.0023,0.00031,0.00031,0.00076,-0.00138,0.00059,-0.00249,-0.00125
2000-01-26,0.00299,0.00019,0.00529,-0.00106,0.00567,0.0007,0.00158,-0.00088,-0.00491,-0.00391
2000-01-27,0.01216,0.00892,0.00195,-0.01326,-0.00689,0.00202,-0.00237,-0.01009,0.00118,-0.00987
2000-01-28,0.01272,-0.02113,0.00939,-0.01024,0.04449,-0.01005,0.04064,-0.02352,-0.00999,-0.01492
2000-01-31,0.00082,-0.00168,0.00173,-0.00061,-0.0185,-0.00152,-0.0169,0.00057,0.00528,-0.00374
2000-02-01,0.00267,-0.00316,0.00198,-0.00272,0.01055,0.00338,0.00994,0.00535,0.00118,0.0029
2000-02-02,-0.0038,-0.00676,0.00559,0.0023,-0.0071,0.00228,0.00122,0.00687,0.00029,0.0063
2000-02-03,-0.01211,0.00444,0.00218,0.01508,-0.00424,0.00125,-0.01399,0.01516,0.00354,0.00818
2000-02-04,0.01293,0.00353,0.00689,-0.01314,0.01134,-0.00346,0.00748,-0.00998,-0.0003,-0.01364
2000-02-07,-0.00235,-0.01119,-0.00013,0.00268,-0.00379,0.00069,-0.00122,0.00035,-0.00165,0.00133
2000-02-08,-0.00804,-0.00769,-0.01174,0.00764,-0.00221,-0.00111,-0.00081,0.00753,-0.00059,0.00918
2000-02-09,-0.00526,0.00439,-0.00062,0.00424,0.00126,0.00207,0.00406,0.00595,0.00295,0.00472
2000-02-10,0.00495,0.0034,0.00361,-0.00295,0.00395,-0.00394,-0.00304,-0.00479,-0.00065,-0.00368
2000-02-11,0.00183,-0.0023,0.00838,-0.00153,0.00603,-0.00103,0.00406,-0.00268,-0.00106,-0.00452
2000-02-14,0.00652,0.00312,0.00207,-0.00794,0.00048,-0.0022,0.00961,-0.00821,-0.00165,-0.00437
2000-02-15,-0.0052,-0.00092,-0.00377,0.00641,-0.00334,-0.00261,-0.00041,-0.00012,0.00088,-0.00042
2000-02-16,-0.00081,-0.00578,-0.00563,0.00172,-0.00016,0.00447,-0.00594,0.00121,-0.0043,0.00152
2000-02-17,-0.00213,-0.0081,-0.00062,0.00172,-0.00301,-0.00014,-0.00773,-0.00121,-0.00158,-0.00557
2000-02-18,0.00132,-0.00552,0.00412,-0.00049,0.00444,0.00069,0.00569,0.00086,0.00012,0.00339
2000-02-22,-0.0211,-0.00144,-0.01126,0.01853,0.00558,-0.0057,-0.00163,0.01545,-0.00158,0.01366
2000-02-23,0.00428,-0.00063,0.00733,-0.00617,0.0098,-0.00383,0.01269,-0.00438,-0.00321,-0.00398
2000-02-24,0.00862,0.00144,0.00412,-0.00731,0.00843,0.00438,-0.00247,-0.00488,-0.00146,-0.00342
2000-02-25,0.01706,-0.00027,0.00458,-0.01683,-0.00503,0.00564,-0.00308,-0.00878,0.00321,-0.0129
2000-02-28,0.00967,0.01644,-0.0017,-0.00846,0.0096,-0.00227,0.0074,0.00063,-0.00437,-0.00366
2000-02-29,0.00269,-0.00648,0.00977,-0.003,-0.00636,0.00227,-0.00391,-0.00694,-0.00302,-0.0046
2000-03-01,-0.00589,0.02563,-0.00436,0.00584,0.0144,0.00242,0.00247,0.00728,0.0032,0.00833
2000-03-02,0.00839,-0.00252,0.00531,-0.00877,-0.00165,-0.00503,-0.00514,-0.01355,-0.00186,-0.01088
2000-03-03,0.0001,-0.004,-0.00285,0.00012,-0.00082,0.00227,0.0,-0.00114,-0.00226,0.00064
2000-03-06,0.00156,0.00056,0.00495,-0.00227,0.01091,-0.0031,0.01404,0.00324,6e-05,-0.00184
2000-03-07,0.00449,0.0144,-0.00254,-0.00358,-0.00315,0.00193,-0.00539,-0.00199,0.00308,-0.00279
2000-03-08,-0.00167,-0.00648,-0.00525,0.00238,-0.00973,-0.00446,-0.00803,-0.00532,0.00344,-0.00213
2000-03-09,-0.01122,0.00412,0.00253,0.01049,-0.00996,0.00151,-0.00858,0.01451,0.00351,0.00724
2000-03-10,0.00258,0.00169,0.00139,-0.00397,0.00309,-0.00034,-0.00669,0.0004,0.00264,-0.00024
2000-03-13,0.00114,0.00898,0.0007,-0.00246,-0.00472,-0.00267,0.00344,0.00023,-0.00194,-0.00285
2000-03-14,0.00041,0.00447,0.00362,-0.00078,0.00406,-0.00123,0.0059,0.00241,-0.00158,-0.00285
2000-03-15,-0.00538,-0.00694,-0.00032,0.00582,0.00245,-0.00328,0.00388,0.00063,-0.00321,0.00308
2000-03-16,-0.00144,-0.00047,-0.00108,0.00151,0.00294,-0.00299,0.00143,-0.00029,0.00175,0.00131
2000-03-17,0.00165,-0.00444,0.00267,-0.00163,0.00657,-0.00027,0.00679,0.00323,-0.00239,-0.0003
2000-03-20,-0.00165,-0.00376,0.00121,0.0009,0.00033,0.0017,0.00207,0.00272,-0.00227,-0.00149
2000-03-21,0.00072,-0.00384,-0.00248,-0.0006,-0.00575,0.00279,-0.01397,-0.00087,0.0007,-0.00095
2000-03-22,0.00984,0.00131,0.00127,-0.00809,0.00724,-0.00395,0.00552,-0.00703,0.00367,-0.00438
2000-03-23,-0.0086,-0.00635,-0.00793,0.01371,0.00248,-0.00048,0.00021,0.00761,0.00058,0.00926
2000-03-24,-0.0034,0.00186,-0.00504,0.01151,-0.0038,0.00524,-0.00164,0.00784,-0.00263,0.00514
2000-03-27,0.00816,0.00112,0.00346,-0.00823,-0.00821,0.00308,-0.00998,-0.00801,0.0,-0.00728
2000-03-28,0.00322,0.01155,-0.00107,-0.00503,-0.00441,0.00439,-0.01868,0.00918,0.00058,0.00191
2000-03-29,0.00941,0.00284,0.00013,-0.01046,0.00277,-0.00096,0.00199,-0.0116,-0.00105,-0.00713
2000-03-30,-0.00732,0.00066,-0.00327,0.0072,-0.00016,-0.00014,0.005,0.00399,-0.00151,0.00534
2000-03-31,0.00209,0.02689,0.0,-0.0015,0.01034,0.00131,0.00603,-0.00023,0.00431,-0.00356
2000-04-03,0.00146,-0.02014,-0.00364,0.00259,-0.00181,-0.00069,-0.00763,-0.00497,-0.00309,-0.00343
2000-04-04,-0.00292,-0.00485,0.00094,0.00526,0.00677,0.00117,-0.0018,-0.0015,-0.00058,-0.00307
2000-04-05,-0.00613,0.00314,0.00408,0.01036,-0.00348,-0.00117,-0.00518,0.00791,0.00134,0.00561
2000-04-06,0.00697,0.0021,0.00631,-0.00367,0.00613,0.00227,0.00458,-0.00446,0.00058,-0.00396
2000-04-07,-0.00104,-0.00524,-0.0019,0.00043,0.00216,-0.00406,0.0014,0.0022,-0.0007,-0.00071
2000-04-10,0.00021,-0.00983,0.00013,-0.00317,0.002,-0.00281,0.0036,0.00371,-0.00163,-0.00236
2000-04-11,-0.00031,-0.00544,-0.00284,0.00122,0.00569,-0.00137,0.0002,-0.00278,-0.00058,-0.00282
2000-04-12,0.00418,0.01024,-0.00057,-0.00456,-0.00218,0.00082,0.00181,-0.00784,0.00041,-0.00082
2000-04-13,0.00283,0.00095,6e-05,-0.00182,0.00117,-0.0026,-0.0006,-0.00241,0.00192,-0.00152
2000-04-14,-0.00419,0.00607,0.00132,0.0068,-0.00151,-0.0072,0.0004,0.00264,0.00479,0.00029
2000-04-17,0.00146,0.00889,0.00044,-0.00195,0.00993,-0.00594,0.00625,-0.0023,0.00053,-0.00508
2000-04-18,0.00767,-0.00383,0.00563,-0.00987,-0.00557,0.00121,-0.00162,-0.00275,0.00464,-0.00511
2000-04-19,0.01146,-0.00334,-0.00082,-0.00911,-0.00185,0.00514,-0.00644,-0.00616,-0.00012,-0.00957
2000-04-20,-0.00075,-0.00485,-0.00152,-0.00101,0.00437,0.00244,0.00705,-0.00023,0.00082,0.00247
2000-04-21,-0.00032,-0.00407,0.00101,0.00072,0.00101,-0.0017,0.00303,0.00159,-0.00071,0.00178
2000-04-24,-0.00181,0.00208,-0.00095,0.00287,-0.00337,-0.00088,-0.00223,0.00068,-0.00176,0.00046
2000-04-25,0.01404,-0.00047,0.00082,-0.0162,-0.00185,0.00434,-0.00182,-0.00772,-0.00117,-0.01522
2000-04-26,0.00519,-0.00707,-0.00051,-0.00587,0.01114,-0.00401,0.01833,-0.00417,-0.00088,-0.00244
2000-04-27,0.01465,0.00094,0.00298,-0.01308,0.00255,-0.0023,0.00144,-0.01072,-0.00088,-0.01621
2000-04-28,-0.00066,-0.01512,0.01201,0.00347,0.00649,-0.00176,0.00062,0.00154,0.00029,0.00143
2000-05-01,-0.0034,-0.00839,0.00013,0.00669,0.00636,0.00236,0.00413,0.00545,-0.00146,0.00605
2000-05-02,0.00572,0.00239,-0.00205,-0.00291,-0.00978,-0.00499,-0.00495,-0.00254,-0.00514,-0.00543
2000-05-03,0.01971,-0.00468,-0.00096,-0.01065,-0.00731,-0.00443,-0.00636,-0.0151,-0.00215,-0.01304
2000-05-04,-0.0018,0.00893,0.01095,0.00092,-0.00237,-0.00381,-0.00367,-0.00297,-0.00029,-0.00341
2000-05-05,-0.00515,-0.00332,0.00957,0.00173,-0.00354,0.0,0.00306,0.00011,-0.00012,-0.00044
