DATE,SP500
2013-11-04,
2013-11-05,-0.00281
2013-11-06,0.00426
2013-11-07,-0.01327
2013-11-08,0.01334
2013-11-11,0.00072
2013-11-12,-0.00237
2013-11-13,0.00806
2013-11-14,0.00483
2013-11-15,0.00421
2013-11-18,-0.00371
2013-11-19,-0.00205
2013-11-20,-0.00364
2013-11-21,0.0081
2013-11-22,0.00495
2013-11-25,-0.00126
2013-11-26,0.00015
2013-11-27,0.00248
2013-11-29,-0.00079
2013-12-02,-0.00272
2013-12-03,-0.0032
2013-12-04,-0.0013
2013-12-05,-0.00435
2013-12-06,0.01118
2013-12-09,0.00182
2013-12-10,-0.00318
2013-12-11,-0.01138
2013-12-12,-0.00378
2013-12-13,-0.0001
2013-12-16,0.0063
2013-12-17,-0.00311
2013-12-18,0.01651
2013-12-19,-0.00058
2013-12-20,0.00481
2013-12-23,0.0053
2013-12-24,0.00291
2013-12-26,0.00473
2013-12-27,-0.00034
2013-12-30,-0.00018
2013-12-31,0.00395
2014-01-02,-0.0089
2014-01-03,-0.00033
2014-01-06,-0.00251
2014-01-07,0.00606
2014-01-08,-0.00021
2014-01-09,0.00035
2014-01-10,0.0023
2014-01-13,-0.01266
2014-01-14,0.01076
2014-01-15,0.00515
2014-01-16,-0.00135
2014-01-17,-0.0039
2014-01-21,0.00277
2014-01-22,0.00057
2014-01-23,-0.00893
2014-01-24,-0.0211
2014-01-27,-0.00489
2014-01-28,0.00612
2014-01-29,-0.01026
2014-01-30,0.0112
2014-01-31,-0.00649
2014-02-03,-0.0231
2014-02-04,0.00761
2014-02-05,-0.00203
2014-02-06,0.01236
2014-02-07,0.01321
2014-02-10,0.00157
2014-02-11,0.011
2014-02-12,-0.00027
2014-02-13,0.00579
2014-02-14,0.0048
2014-02-18,0.00116
2014-02-19,-0.00655
2014-02-20,0.00601
2014-02-21,-0.00192
2014-02-24,0.00617
2014-02-25,-0.00135
2014-02-26,2e-05
2014-02-27,0.00494
2014-02-28,0.00278
2014-03-03,-0.00741
2014-03-04,0.01515
2014-03-05,-5e-05
2014-03-06,0.00172
2014-03-07,0.00054
2014-03-10,-0.00046
2014-03-11,-0.0051
2014-03-12,0.00031
2014-03-13,-0.01177
2014-03-14,-0.00283
2014-03-17,0.00957
2014-03-18,0.00719
2014-03-19,-0.00615
2014-03-20,0.00602
2014-03-21,-0.00294
2014-03-24,-0.00488
2014-03-25,0.00439
2014-03-26,-0.00702
2014-03-27,-0.0019
2014-03-28,0.00463
2014-03-31,0.00789
2014-04-01,0.00701
2014-04-02,0.00285
2014-04-03,-0.00113
2014-04-04,-0.01262
2014-04-07,-0.01081
2014-04-08,0.00374
2014-04-09,0.01086
2014-04-10,-0.02111
2014-04-11,-0.00953
2014-04-14,0.00818
2014-04-15,0.00673
2014-04-16,0.01043
2014-04-17,0.00136
2014-04-21,0.00377
2014-04-22,0.00408
2014-04-23,-0.00222
2014-04-24,0.00172
2014-04-25,-0.00813
2014-04-28,0.00323
2014-04-29,0.00475
2014-04-30,0.00299
2014-05-01,-0.00014
2014-05-02,-0.00135
2014-05-05,0.00187
2014-05-06,-0.00903
2014-05-07,0.0056
2014-05-08,-0.00137
2014-05-09,0.00152
2014-05-12,0.00963
2014-05-13,0.00042
2014-05-14,-0.00471
2014-05-15,-0.00941
2014-05-16,0.00374
2014-05-19,0.00384
2014-05-20,-0.00652
2014-05-21,0.00808
2014-05-22,0.00236
2014-05-23,0.00424
2014-05-27,0.00597
2014-05-28,-0.00111
2014-05-29,0.00535
2014-05-30,0.00184
2014-06-02,0.00073
2014-06-03,-0.00038
2014-06-04,0.00189
2014-06-05,0.0065
2014-06-06,0.00462
2014-06-09,0.00094
2014-06-10,-0.00025
2014-06-11,-0.00354
2014-06-12,-0.00711
2014-06-13,0.00313
2014-06-16,0.00084
2014-06-17,0.00217
2014-06-18,0.00769
2014-06-19,0.00128
2014-06-20,0.00173
2014-06-23,-0.00013
2014-06-24,-0.00646
2014-06-25,0.00489
2014-06-26,-0.00118
2014-06-27,0.00191
2014-06-30,-0.00037
2014-07-01,0.00666
2014-07-02,0.00066
2014-07-03,0.00546
2014-07-07,-0.00393
2014-07-08,-0.00707
2014-07-09,0.00463
2014-07-10,-0.00414
2014-07-11,0.00147
2014-07-14,0.00483
2014-07-15,-0.00193
2014-07-16,0.00419
2014-07-17,-0.0119
2014-07-18,0.01021
2014-07-21,-0.00232
2014-07-22,0.005
2014-07-23,0.00175
2014-07-24,0.00049
2014-07-25,-0.00486
2014-07-28,0.00029
2014-07-29,-0.00454
2014-07-30,6e-05
2014-07-31,-0.0202
2014-08-01,-0.00286
2014-08-04,0.00716
2014-08-05,-0.00973
2014-08-06,2e-05
2014-08-07,-0.00557
2014-08-08,0.01147
2014-08-11,0.00276
2014-08-12,-0.00164
2014-08-13,0.00668
2014-08-14,0.00434
2014-08-15,-6e-05
2014-08-18,0.0085
2014-08-19,0.00499
2014-08-20,0.00247
2014-08-21,0.00295
2014-08-22,-0.00199
2014-08-25,0.00478
2014-08-26,0.00105
2014-08-27,5e-05
2014-08-28,-0.00169
2014-08-29,0.00331
2014-09-02,-0.00054
2014-09-03,-0.00078
2014-09-04,-0.00154
2014-09-05,0.00502
2014-09-08,-0.00308
2014-09-09,-0.00657
2014-09-10,0.00364
2014-09-11,0.00088
2014-09-12,-0.00598
2014-09-15,-0.00071
2014-09-16,0.00746
2014-09-17,0.00129
2014-09-18,0.00488
2014-09-19,-0.00048
2014-09-22,-0.00805
2014-09-23,-0.00579
2014-09-24,0.0078
2014-09-25,-0.0163
2014-09-26,0.00854
2014-09-29,-0.00255
2014-09-30,-0.00279
2014-10-01,-0.01334
2014-10-02,1e-05
2014-10-03,0.0111
2014-10-06,-0.00157
2014-10-07,-0.01524
2014-10-08,0.01731
2014-10-09,-0.02088
2014-10-10,-0.01152
2014-10-13,-0.01661
2014-10-14,0.00158
2014-10-15,-0.00813
2014-10-16,0.00014
2014-10-17,0.0128
2014-10-20,0.0091
2014-10-21,0.01939
2014-10-22,-0.00733
2014-10-23,0.01223
2014-10-24,0.00703
2014-10-27,-0.0015
2014-10-28,0.01187
2014-10-29,-0.00139
2014-10-30,0.00621
2014-10-31,0.01166
2014-11-03,-0.00012
2014-11-04,-0.00283
2014-11-05,0.00568
2014-11-06,0.00377
2014-11-07,0.00035
