Combination,In-Sample,Out-of-Sample
USDEUR,0.5361041141897565,0.5260067114093959
USDJPY,0.5354743912678421,0.5327181208053692
USDGBP,0.5337951301427372,0.535234899328859
USDCHF,0.5354743912678421,0.5318791946308725
USDAUD,0.535264483627204,0.535234899328859
USDCAD,0.5358942065491183,0.5285234899328859
USDNZD,0.5350545759865659,0.5343959731543624
USDSEK,0.5344248530646516,0.535234899328859
USDSGD,0.5409319899244333,0.5083892617449665
USDNOK,0.5348446683459278,0.5335570469798657
USDEUR_USDJPY,0.5403022670025189,0.5251677852348994
USDEUR_USDGBP,0.5428211586901763,0.5167785234899329
USDEUR_USDCHF,0.5419815281276238,0.5302013422818792
USDEUR_USDAUD,0.5415617128463476,0.5260067114093959
USDEUR_USDCAD,0.5455499580184718,0.5067114093959731
USDEUR_USDNZD,0.5407220822837951,0.5251677852348994
USDEUR_USDSEK,0.5392527287993283,0.5268456375838926
USDEUR_USDSGD,0.540512174643157,0.511744966442953
USDEUR_USDNOK,0.5382031905961377,0.5243288590604027
USDJPY_USDGBP,0.5392527287993283,0.5276845637583892
USDJPY_USDCHF,0.5382031905961377,0.5318791946308725
USDJPY_USDAUD,0.5445004198152813,0.514261744966443
USDJPY_USDCAD,0.5430310663308144,0.5151006711409396
USDJPY_USDNZD,0.5457598656591099,0.5033557046979866
USDJPY_USDSEK,0.5438706968933669,0.514261744966443
USDJPY_USDSGD,0.5411418975650714,0.5125838926174496
USDJPY_USDNOK,0.5394626364399664,0.5302013422818792
USDGBP_USDCHF,0.5403022670025189,0.5318791946308725
USDGBP_USDAUD,0.5365239294710328,0.5318791946308725
USDGBP_USDCAD,0.5455499580184718,0.4941275167785235
USDGBP_USDNZD,0.5447103274559194,0.47567114093959734
USDGBP_USDSEK,0.5396725440806045,0.5058724832214765
USDGBP_USDSGD,0.5432409739714525,0.5184563758389261
USDGBP_USDNOK,0.5430310663308144,0.473993288590604
USDCHF_USDAUD,0.5407220822837951,0.5302013422818792
USDCHF_USDCAD,0.5445004198152813,0.5234899328859061
USDCHF_USDNZD,0.5413518052057095,0.5327181208053692
USDCHF_USDSEK,0.5403022670025189,0.5268456375838926
USDCHF_USDSGD,0.5409319899244333,0.514261744966443
