DATE,USDEUR,USDJPY,USDGBP,USDCHF,USDAUD,USDCAD,USDHKD,USDNZD,USDSEK,USDSGD,USDNOK,USDKRW,USDTRY,USDMXN
2000-01-03,1.0155,101.7,1.627,1.5808,0.6591,1.4465,3.8,0.5254,8.443,1.6563,7.964,1128.0,3.8,3.8
2000-01-04,1.0309,103.09,1.637,1.5565,0.6562,1.4518,3.8,0.5198,8.36,1.6535,7.934,1122.5,3.8,3.8
2000-01-05,1.0335,103.77,1.6415,1.5526,0.655,1.4518,3.8,0.5171,8.353,1.656,7.935,1135.0,3.8,3.8
2000-01-06,1.0324,105.19,1.6475,1.554,0.654,1.4571,3.8,0.5145,8.3675,1.6655,7.94,1146.5,3.8,3.8
2000-01-07,1.0294,105.17,1.6384,1.5623,0.6548,1.4505,3.8,0.516,8.415,1.6625,7.966,1138.0,3.8,3.8
2000-01-10,1.0252,105.28,1.6374,1.5704,0.6561,1.4568,3.8,0.5168,8.449,1.6618,8.024,1133.5,3.8,3.8
2000-01-11,1.0322,106.09,1.648,1.5605,0.6575,1.457,3.8,0.5164,8.397,1.669,7.969,1147.0,3.8,3.8
2000-01-12,1.0281,105.76,1.6465,1.566,0.6578,1.455,3.8,0.5185,8.418,1.669,7.977,1144.5,3.8,3.8
2000-01-13,1.027,106.09,1.6482,1.5707,0.6687,1.4495,3.8,0.524,8.417,1.67,7.9425,1135.5,3.8,3.8
2000-01-14,1.0128,105.86,1.6353,1.5945,0.6665,1.4497,3.8,0.5212,8.474,1.6752,7.997,1125.0,3.8,3.8
2000-01-17,,,,,,,,,,,,,,
2000-01-18,1.0121,105.49,1.638,1.5942,0.664,1.4502,3.8,0.517,8.468,1.6735,8.01,1127.0,3.8,3.8
2000-01-19,1.0115,105.39,1.6438,1.5965,0.6634,1.4527,3.8,0.5155,8.487,1.6753,8.0,1134.0,3.8,3.8
2000-01-20,1.0133,105.45,1.6538,1.5915,0.6666,1.4484,3.8,0.5132,8.468,1.6765,7.977,1126.0,3.8,3.8
2000-01-21,1.01,104.96,1.6504,1.5973,0.6621,1.442,3.8,0.5104,8.493,1.681,7.999,1128.0,3.8,3.8
2000-01-24,1.0019,105.52,1.652,1.609,0.6544,1.44,3.8,0.5061,8.526,1.6825,8.026,1124.5,3.8,3.8
2000-01-25,1.0041,105.87,1.6482,1.6085,0.6542,1.4389,3.8,0.5068,8.521,1.6867,8.036,1127.0,3.8,3.8
2000-01-26,1.0011,105.85,1.6395,1.6102,0.6505,1.4379,3.8,0.506,8.5285,1.695,8.0675,1127.8,3.8,3.8
2000-01-27,0.989,104.91,1.6363,1.6317,0.655,1.435,3.8,0.5072,8.615,1.693,8.1475,1125.0,3.8,3.8
2000-01-28,0.9765,107.15,1.621,1.6485,0.6265,1.4495,3.8,0.487,8.82,1.71,8.27,1121.0,3.8,3.8
2000-01-31,0.9757,107.33,1.6182,1.6495,0.6382,1.4517,3.8,0.4953,8.815,1.701,8.301,1124.0,3.8,3.8
2000-02-01,0.9731,107.67,1.615,1.654,0.6315,1.4468,3.8,0.4904,8.768,1.699,8.277,1127.0,3.8,3.8
2000-02-02,0.9768,108.4,1.606,1.6502,0.636,1.4435,3.8,0.4898,8.708,1.6985,8.225,1131.0,3.8,3.8
2000-02-03,0.9887,107.92,1.6025,1.6255,0.6387,1.4417,3.8,0.4967,8.577,1.6925,8.158,1130.5,3.8,3.8
